datetime,AS3320,AS7922,AS12322,AS6830,AS3265,AS3215,AS701,AS6848,AS31334,Remaining
2017-06-20T23:58:43Z,0,0,0,0,1.0,0,0,0,0,1.0
2017-06-21T23:59:48Z,0,0,0,0,1.0,0,0,0,0,2.0
2017-06-22T23:58:07Z,0,0,0,0,0,0,0,0,0,2.0
2017-06-23T23:59:48Z,0,0,0,0,1.0,0,0,0,0,1.0
2017-06-25T23:59:07Z,0,0,0,0,2.0,0,0,0,0,2.0
2017-06-26T23:57:50Z,0,0,0,0,0,0,0,0,0,1.0
2017-06-27T23:53:35Z,0,0,0,0,0,0,0,0,0,3.0
2017-06-28T23:57:17Z,0,1.0,1.0,0,1.0,0,0,0,0,5.0
2017-06-29T23:59:46Z,0,0,0,0,1.0,0,0,0,0,2.0
2017-06-30T23:53:34Z,0,0,0,0,0,0,0,0,0,2.0
2017-07-01T23:58:58Z,0,0,0,0,0,0,1.0,0,0,4.0
2017-07-02T23:59:46Z,0,0,0,0,1.0,0,0,0,0,6.0
2017-07-03T23:59:03Z,0,0,0,0,0,0,0,0,0,3.0
2017-07-04T23:59:47Z,1.0,0,0,0,0,0,0,0,0,2.0
2017-07-05T23:59:45Z,0,0,0,0,3.0,0,0,0,0,2.0
2017-07-06T23:59:45Z,0,0,0,0,1.0,0,0,0,0,1.0
2017-07-07T23:59:45Z,0,0,0,0,2.0,0,0,0,0,4.0
2017-07-08T23:59:46Z,0,0,0,0,3.0,0,0,0,0,3.0
2017-07-09T23:59:02Z,1.0,0,0,0,1.0,0,0,0,0,3.0
2017-07-10T23:59:47Z,1.0,0,0,0,2.0,0,0,0,0,1.0
2017-07-11T23:58:39Z,0,0,0,0,1.0,0,0,0,0,0
2017-07-12T23:59:48Z,1.0,0,0,0,2.0,0,0,0,0,2.0
2017-07-13T23:59:04Z,1.0,0,0,0,0,0,0,0,0,3.0
2017-07-14T23:58:39Z,0,0,0,0,0,0,0,0,0,2.0
2017-07-15T23:57:27Z,1.0,0,0,0,0,0,0,0,0,2.0
2017-07-16T23:58:45Z,0,0,0,0,1.0,0,0,0,0,2.0
2017-07-17T23:59:19Z,0,0,0,0,0,0,0,0,0,5.0
2017-07-18T23:59:47Z,1.0,0,0,0,3.0,0,0,0,0,0
2017-07-19T23:59:11Z,0,0,0,0,0,0,0,0,0,2.0
2017-07-20T23:58:34Z,0,1.0,0,0,0,0,0,0,0,2.0
2017-07-21T23:59:46Z,0,0,0,0,1.0,0,0,0,0,1.0
2017-07-22T23:59:45Z,1.0,0,0,0,2.0,0,0,0,0,2.0
2017-07-23T23:59:48Z,0,0,0,0,1.0,0,0,0,0,2.0
2017-07-24T23:59:55Z,0,0,0,0,2.0,0,0,0,0,4.0
2017-07-25T23:59:49Z,0,0,0,0,1.0,0,0,0,0,3.0
2017-07-26T23:59:49Z,0,0,0,0,3.0,0,0,0,0,4.0
2017-07-27T23:59:50Z,0,0,0,0,2.0,0,0,0,0,3.0
2017-07-28T23:59:51Z,0,0,0,0,0,0,0,0,0,4.0
2017-07-29T23:58:53Z,0,0,0,0,0,0,0,0,0,1.0
2017-07-30T23:51:54Z,0,0,0,0,1.0,0,0,0,0,2.0
2017-07-31T23:54:04Z,0,0,0,0,0,0,0,0,0,2.0
2017-08-01T23:57:41Z,0,0,0,0,2.0,0,0,0,0,0
2017-08-02T23:57:43Z,0,0,0,0,3.0,0,0,0,0,2.0
2017-08-03T23:59:11Z,0,0,0,0,0,0,0,0,0,1.0
2017-08-04T23:59:47Z,0,0,0,0,1.0,1.0,0,0,0,3.0
2017-08-05T23:58:51Z,0,0,0,0,0,0,0,0,0,4.0
2017-08-06T23:59:48Z,0,0,0,0,0,0,0,0,0,4.0
2017-08-07T23:58:47Z,0,0,0,0,0,1.0,0,0,0,4.0
2017-08-08T23:53:17Z,0,0,0,0,1.0,0,0,0,0,2.0
2017-08-09T23:59:41Z,0,1.0,0,0,0,0,0,0,0,3.0
2017-08-10T23:55:51Z,0,1.0,0,0,0,0,0,0,0,3.0
2017-08-11T23:53:16Z,0,0,0,0,1.0,0,0,0,0,1.0
2017-08-12T23:53:14Z,0,2.0,0,0,0,0,0,0,0,2.0
2017-08-13T23:53:13Z,0,0,0,0,0,0,0,0,0,1.0
2017-08-14T23:59:46Z,0,0,0,0,1.0,0,0,0,0,3.0
2017-08-15T23:59:41Z,0,0,0,0,1.0,0,0,0,0,11.0
2017-08-16T23:59:45Z,0,3.0,0,0,1.0,0,0,0,0,6.0
2017-08-17T23:53:14Z,0,0,0,0,0,0,0,0,0,2.0
2017-08-18T23:58:14Z,0,1.0,0,0,0,0,0,0,0,2.0
2017-08-19T23:58:49Z,0,0,0,0,0,0,0,0,0,2.0
2017-08-20T23:59:53Z,0,0,0,0,2.0,0,0,0,0,4.0
2017-08-21T23:59:54Z,0,1.0,0,0,2.0,0,0,0,0,9.0
2017-08-22T23:59:52Z,0,1.0,0,0,3.0,0,0,0,0,5.0
2017-08-23T23:59:57Z,0,0,0,0,0,0,0,0,0,2.0
2017-08-24T23:56:52Z,0,0,0,0,0,0,0,0,0,5.0
2017-08-25T23:59:09Z,0,0,0,0,1.0,0,0,0,0,2.0
2017-08-26T23:58:49Z,0,0,0,0,0,1.0,0,0,0,7.0
2017-08-27T23:53:14Z,0,0,0,0,0,0,0,0,0,2.0
2017-08-28T23:59:45Z,0,0,0,0,1.0,0,0,0,0,4.0
2017-08-29T23:59:48Z,0,0,0,0,1.0,0,0,0,0,1.0
2017-08-30T23:59:47Z,0,0,0,0,2.0,0,0,0,0,3.0
2017-08-31T23:57:03Z,0,1.0,0,0,0,0,0,0,0,3.0
2017-09-01T23:59:47Z,0,0,0,0,2.0,0,0,0,0,1.0
2017-09-02T23:57:41Z,0,1.0,0,0,1.0,0,0,0,0,2.0
2017-09-03T23:59:45Z,0,0,0,0,1.0,0,0,0,0,3.0
2017-09-04T23:59:38Z,0,0,0,0,0,0,0,0,0,10.0
2017-09-05T23:59:40Z,0,0,0,0,0,0,0,0,0,6.0
2017-09-06T23:57:41Z,0,1.0,0,0,3.0,0,0,0,0,1.0
2017-09-07T23:58:49Z,0,0,0,0,1.0,0,0,0,0,5.0
2017-09-08T23:59:44Z,0,0,0,0,2.0,0,0,0,0,2.0
2017-09-09T23:57:19Z,0,0,0,0,1.0,0,0,0,0,3.0
2017-09-10T23:59:56Z,0,0,0,0,0,0,0,0,0,4.0
2017-09-11T23:57:17Z,0,0,0,0,1.0,0,0,0,0,1.0
2017-09-12T23:59:36Z,0,0,0,0,0,0,0,0,0,3.0
2017-09-13T23:59:48Z,0,1.0,0,0,0,1.0,0,0,0,9.0
2017-09-14T23:57:29Z,2.0,1.0,0,1.0,0,0,0,0,0,2.0
2017-09-15T23:51:51Z,0,0,0,1.0,1.0,0,0,0,0,1.0
2017-09-16T23:58:42Z,0,0,0,1.0,1.0,0,0,0,0,3.0
2017-09-17T23:59:55Z,0,0,0,1.0,1.0,1.0,0,0,0,7.0
2017-09-18T23:59:52Z,0,0,0,0,0,0,0,0,0,6.0
2017-09-19T23:58:41Z,0,0,0,0,2.0,0,0,0,0,3.0
2017-09-20T23:59:53Z,0,0,0,1.0,0,0,0,0,0,2.0
2017-09-21T23:59:53Z,0,0,0,0,0,0,0,0,0,5.0
2017-09-22T23:57:11Z,0,0,0,0,1.0,0,0,0,0,6.0
2017-09-23T23:59:19Z,0,0,0,0,0,0,0,0,0,4.0
2017-09-24T23:59:58Z,0,0,0,0,0,0,0,0,0,8.0
2017-09-25T23:58:40Z,0,1.0,0,0,2.0,0,0,0,0,3.0
2017-09-26T23:59:54Z,0,1.0,0,0,3.0,0,0,0,0,8.0
2017-09-27T23:59:50Z,0,0,0,0,1.0,0,0,0,0,5.0
2017-09-28T23:59:56Z,0,1.0,0,1.0,0,0,0,0,0,4.0
2017-09-29T23:59:51Z,0,0,0,2.0,0,0,0,0,0,3.0
2017-09-30T23:59:20Z,0,1.0,0,2.0,0,0,0,0,0,1.0
2017-10-01T23:59:50Z,0,0,0,1.0,1.0,0,0,0,0,6.0
2017-10-02T23:59:51Z,0,0,0,1.0,0,0,0,0,0,5.0
2017-10-03T23:59:59Z,0,0,0,1.0,0,0,0,0,0,4.0
2017-10-04T23:59:14Z,0,0,0,1.0,2.0,0,0,0,0,3.0
2017-10-05T23:59:13Z,0,0,0,1.0,2.0,0,0,0,0,3.0
2017-10-06T23:59:11Z,0,0,0,1.0,1.0,0,0,0,0,1.0
2017-10-07T23:59:12Z,0,0,0,1.0,0,0,0,0,0,0
2017-10-08T23:59:48Z,0,0,0,1.0,0,0,0,0,0,4.0
2017-10-09T23:59:39Z,0,0,0,1.0,0,0,0,0,0,4.0
2017-10-10T23:59:28Z,0,0,0,1.0,2.0,0,0,0,0,3.0
2017-10-11T23:59:11Z,0,0,0,1.0,1.0,0,0,0,0,2.0
